genes	logFC	logCPM	LR	PValue	FDR
NHFMJM_02180	-2.12215976213713	4.71775068045637	50.5863134352046	1.14037534044579e-12	6.51268356928592e-09
NHFMJM_20240	-2.68572016531545	6.4721149927108	45.699899218847	1.37829864912976e-11	3.93573179259004e-08
NHFMJM_06555	-2.90948352998665	5.44829890976971	43.0961211592299	5.21154740588441e-11	9.92104907833528e-08
NHFMJM_20235	-1.91969982299142	5.38511910782832	39.3349537790515	3.5699316264647e-10	5.09696987968498e-07
NHFMJM_18275	-2.53754733158005	5.22074337775081	35.8585741369436	2.12172259403631e-09	2.01952628909023e-06
NHFMJM_24860	-2.26280138192186	4.42617163402894	36.0214419328698	1.95158136514325e-09	2.01952628909023e-06
NHFMJM_06560	-3.09659226008991	5.20540241041938	33.5118353472367	7.08316631041229e-09	5.77885182839494e-06
NHFMJM_02700	-3.0801639551451	4.63213103867238	33.1790028614097	8.40532734716707e-09	5.8389312681865e-06
NHFMJM_25795	-2.69118334524753	4.00087537756556	33.0030147892197	9.20160767180502e-09	5.8389312681865e-06
NHFMJM_13355	-2.29157381082074	7.74296528520424	31.5769450563826	1.91691952701435e-08	1.09475274187789e-05
NHFMJM_04460	-1.78363463967918	3.96942128468563	30.037612492121	4.2374681663522e-08	2.20001642709431e-05
NHFMJM_10260	-3.11050264649801	6.57534349521373	28.0078010961975	1.20827375354471e-07	5.75037617207818e-05
NHFMJM_14185	-2.99369761544694	8.10822310646136	26.7925022855903	2.26514480564331e-07	9.95095537309919e-05
NHFMJM_21645	-2.38573195151727	6.76709362038164	26.6210808338515	2.47528141264946e-07	0.000100973801054579
NHFMJM_11590	-1.75446759497029	4.69719517521299	25.9546186270344	3.4953817324747e-07	0.000133080833827753
NHFMJM_06455	-2.11297886371388	5.04405160804224	25.493655104554	4.43840140290775e-07	0.000149648056783773
NHFMJM_03685	-1.58412962553796	5.54363045324278	25.4866303984191	4.45459107918779e-07	0.000149648056783773
NHFMJM_04915	2.53588894806008	6.44452333564842	25.1142758931635	5.40313725258374e-07	0.000162406930786872
NHFMJM_01885	-2.02716348558901	5.81173833656072	25.1892584096944	5.19708538187905e-07	0.000162406930786872
NHFMJM_16850	-3.01530190331491	6.70481883183936	24.1533833356927	8.89597419527075e-07	0.00023093140285996
NHFMJM_06685	-2.81872987117081	4.53613732665391	24.1698954608052	8.82002593204619e-07	0.00023093140285996
NHFMJM_18060	-1.76721952589791	4.70124061908448	24.2768734313795	8.34348279275436e-07	0.00023093140285996
NHFMJM_13545	-1.62542431125279	5.1573275647596	23.9885317138427	9.69112294134314e-07	0.000240634796165264
NHFMJM_24810	-2.36976050912862	4.26656919223506	23.0122841192084	1.60969557527629e-06	0.000367718857216115
NHFMJM_06680	-1.63855796949399	5.92200922053493	23.0435601811988	1.58372091778057e-06	0.000367718857216115
NHFMJM_16945	-4.37331953640675	6.17123027955453	22.8504103461553	1.75111938591508e-06	0.000370394178257817
NHFMJM_23375	-1.99957079615749	4.85562177180538	22.8561243228974	1.7459212144941e-06	0.000370394178257817
NHFMJM_24715	-1.4065592795753	5.26990359381209	22.7187225656011	1.87531755846688e-06	0.000382497806300155
NHFMJM_12355	-2.81834318832475	2.26037650512298	22.4207729404449	2.18992614684057e-06	0.000408621812974484
NHFMJM_14485	2.43969798061556	3.62405608703103	22.3995639305916	2.21424280463268e-06	0.000408621812974484
NHFMJM_19640	-2.04927959933919	5.65460209923227	22.3962655752723	2.21804871339678e-06	0.000408621812974484
NHFMJM_18055	-2.40492381160429	3.72727070578606	22.2829390696137	2.35287807724362e-06	0.000411660695183567
NHFMJM_21600	-2.08429101604142	4.94312914486737	22.2619737276875	2.37870827194146e-06	0.000411660695183567
NHFMJM_21590	-2.93905515811314	7.35743572138907	21.8664869649139	2.92294355537644e-06	0.000477032592011607
NHFMJM_22220	-1.56341172669958	5.48058574359132	21.8661179975358	2.92350564181513e-06	0.000477032592011607
NHFMJM_11895	-2.02282528515804	3.80664758794799	21.8080814492707	3.01328261010726e-06	0.000478023805175627
NHFMJM_20330	-1.60764236603134	5.40960433122507	21.5765700357536	3.39979824687128e-06	0.000524763453726538
NHFMJM_06510	-2.47012665463179	5.44441358021916	21.4323262259189	3.6653902565876e-06	0.000550869572509784
NHFMJM_20010	-1.50551208285228	5.12178909447894	21.0741401398156	4.41850997951159e-06	0.000647028474179249
NHFMJM_14380	-1.78204350885254	4.25967159303613	20.3981525859157	6.28904781452945e-06	0.000897918801719442
NHFMJM_22985	-1.92779354765975	8.03096493967559	20.2760712688926	6.70337309115171e-06	0.000933730822526035
NHFMJM_03600	-1.59557599672752	4.76796841798926	19.920193530232	8.07429613402973e-06	0.00107957955289481
NHFMJM_19650	-1.25959652551351	4.28216172679183	19.9073996364608	8.1285100288e-06	0.00107957955289481
NHFMJM_04905	3.80254075445476	9.24371841854091	19.7519950949725	8.81696058999777e-06	0.00114320981154618
NHFMJM_04810	-2.86775240591169	1.25693968411995	19.7110378295737	9.0079568411098e-06	0.00114320981154618
NHFMJM_11480	-1.28253621186565	3.57089728440819	19.6596923050521	9.2532759865089e-06	0.00114881432954244
NHFMJM_13755	6.25475270789044	11.603324525294	19.4602544125234	1.02714900637473e-05	0.00124809531391619
NHFMJM_02695	-2.15758219910473	6.39399864717545	19.1964548358582	1.17932204316513e-05	0.00134702163770321
NHFMJM_26705	-1.86260503460175	1.57301003616097	19.2303354199882	1.15857630308449e-05	0.00134702163770321
NHFMJM_26350	-1.46250515704048	6.20073201961489	19.2348623920421	1.1558322455915e-05	0.00134702163770321
NHFMJM_14095	-1.79947101086663	4.17241650634321	19.1291209355187	1.22166593697743e-05	0.00136802630707414
NHFMJM_11630	-3.53496886557327	7.81998535626319	19.0380382429932	1.28138474393478e-05	0.00140730543704068
NHFMJM_04910	3.01544644523337	8.57054806527509	18.9096992262848	1.37054074206891e-05	0.00147682229772746
NHFMJM_12585	2.94364273109637	7.97334193340048	18.8297251598216	1.42922247235773e-05	0.00149451436127055
NHFMJM_21605	-2.24186311352378	4.3701548356535	18.8163266832736	1.43929766888251e-05	0.00149451436127055
NHFMJM_16115	-2.17680084833593	4.38911779771304	18.6766799611203	1.54864988377237e-05	0.00157934633682572
NHFMJM_16845	-1.86392168061946	3.44615058622245	18.6386643787085	1.57983793551162e-05	0.00158288674556261
NHFMJM_12590	3.50126530844704	9.8099365079717	18.5226429183588	1.6789777729859e-05	0.00165321414853836
NHFMJM_12595	3.27581748834174	8.30711098231653	18.4397061561339	1.7536554940438e-05	0.00169747907228545
NHFMJM_25015	-2.0916289274858	5.2183632862144	18.2370224996466	1.95050350585365e-05	0.00182611893802134
NHFMJM_22845	-2.03975560460476	5.05906427647033	18.2503315276913	1.93692234207089e-05	0.00182611893802134
NHFMJM_16940	-5.12414366393691	5.48619910335182	17.8882968125019	2.34257241379865e-05	0.00215781146051678
NHFMJM_12605	3.57313437145097	10.3041177838023	17.7360027223233	2.537778548687e-05	0.00230051639548436
NHFMJM_12615	3.46107251567448	8.6963141413305	17.5272517051721	2.83218996485784e-05	0.00249114079427859
NHFMJM_28015	-2.54876493729288	1.88517296768795	17.4961353308767	2.87892299811569e-05	0.00249114079427859
NHFMJM_00500	-1.80094394654166	4.67226694138799	17.5059410290124	2.86411299964675e-05	0.00249114079427859
NHFMJM_04820	-3.25716542439131	0.426454949629664	17.3291367312898	3.14330181681601e-05	0.00260165169215018
NHFMJM_00815	-2.00493326466322	7.57233507849541	17.351467506611	3.10658294627034e-05	0.00260165169215018
NHFMJM_01910	-1.37391855407907	5.84101558229992	17.3354277038441	3.13291355422887e-05	0.00260165169215018
NHFMJM_10030	-2.55698570864454	3.75496882166946	17.2624536525494	3.25556668725947e-05	0.0026560773358484
NHFMJM_15375	-1.95473842303442	3.81370565755377	17.1534871488952	3.44775875666991e-05	0.00277326059990731
NHFMJM_04415	-1.6551148360494	4.7581430416797	17.0814317423032	3.58107232925668e-05	0.00284048667672013
NHFMJM_12600	3.21886218406584	8.28531892999198	16.997751254528	3.74241161196494e-05	0.00292779626245641
NHFMJM_12335	-1.48395062539337	6.78114366751258	16.9224977757212	3.89373525613073e-05	0.00300501649294089
NHFMJM_17390	-2.84398412351825	7.12124512697699	16.8478577872801	4.04990161897518e-05	0.00304328791394306
NHFMJM_09080	-2.55929510779581	5.75241533539095	16.8718729661966	3.9989804297377e-05	0.00304328791394306
NHFMJM_13240	-1.47395448143243	6.21937370612491	16.7326852608048	4.30331920896515e-05	0.00319172155875325
NHFMJM_03590	-1.57888861125101	4.54509862671053	16.5952863375759	4.62658666469779e-05	0.00338749185154988
NHFMJM_12620	3.29850636375036	8.92833125539613	16.5046000259096	4.8532186267662e-05	0.00346459144718272
NHFMJM_10045	-1.79871838132367	2.38592841651389	16.5168816587264	4.82188419328009e-05	0.00346459144718272
NHFMJM_18400	-1.5392767097956	3.7839398841973	16.480519198821	4.9152521700379e-05	0.0034655561905045
NHFMJM_27280	-1.31598441579389	3.90128532583353	16.433492655162	5.03870345455912e-05	0.00350927261329111
NHFMJM_16950	-3.62500873748831	8.50510289196587	16.3568127561596	5.24672189253548e-05	0.00351170492083849
NHFMJM_13625	-1.54746895423256	5.00749042555223	16.3832966014856	5.17391752522481e-05	0.00351170492083849
NHFMJM_24710	-1.48113100314001	4.52522111109696	16.3717359449938	5.20557211981745e-05	0.00351170492083849
NHFMJM_12205	1.43456030311956	4.38070198159511	16.3419046825945	5.28815659590457e-05	0.00351170492083849
NHFMJM_12570	4.06774875053316	10.0866424455595	16.2579280232717	5.5277805802953e-05	0.00362863849357086
NHFMJM_12580	2.99568857878849	9.52800726011896	16.2290238597972	5.61275912503883e-05	0.00364255310944281
NHFMJM_23305	-1.17829132534859	4.761106968497	16.0779122857714	6.07889352702452e-05	0.00390073718346484
NHFMJM_24080	-1.54397996148896	6.30351515621191	16.0112843597759	6.29660659513119e-05	0.00395163958953783
NHFMJM_24800	-1.53222050519255	5.57012779382799	16.021829017015	6.26163564492786e-05	0.00395163958953783
NHFMJM_01890	-1.69483559579024	5.99363192723844	15.9891812923183	6.37054933916898e-05	0.00395458774739066
NHFMJM_13620	-1.68275929259156	3.91978848911974	15.8370253055385	6.90382814794897e-05	0.00416647982365541
NHFMJM_08960	-1.63520605308692	3.8284235306243	15.8494593134898	6.85861303550771e-05	0.00416647982365541
NHFMJM_05985	-1.55155974023518	6.71405993756794	15.8296585763743	6.93075789261537e-05	0.00416647982365541
NHFMJM_10050	-1.80939444594301	2.74455878315021	15.8013566312201	7.03520467562145e-05	0.00418521394817438
NHFMJM_06395	-2.05290845889912	6.78804955330803	15.7155828002921	7.36152005352667e-05	0.00433418979646297
NHFMJM_01650	-1.8847929723368	4.28025456970977	15.6456566742127	7.63878171548718e-05	0.00440657397748963
