product,treatment 1,treatment 3,treatment 4
putative cyclic di-GMP phosphodiesterase PdeC,1,,
putative cyclic di-GMP phosphodiesterase PdeB,3,,
Cold shock protein CspA,3,,
Aerobic respiration control sensor protein ArcB,1,,
"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial",1,,
Pertactin autotransporter,1,,
Cystathionine beta-lyase MetC,2,,
DNA-binding transcriptional activator DecR,1,,
Adenosylmethionine-8-amino-7-oxononanoate aminotransferase,1,,
putative chromate transport protein,1,,
Superoxide dismutase [Fe],1,,
O-succinylhomoserine sulfhydrylase,2,,
Putrescine--pyruvate aminotransferase,2,,
Leucine-responsive regulatory protein,2,,
Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,2,,
ATM1-type heavy metal exporter,1,,
Purine ribonucleoside efflux pump NepI,2,,
"Ubiquinone biosynthesis O-methyltransferase, mitochondrial",1,,
Ectoine hydrolase,1,,
Alanine dehydrogenase,1,,
Taurine--pyruvate aminotransferase,1,,
L-threonine dehydratase catabolic TdcB,1,,
L-methionine gamma-lyase,,4,
High-affinity branched-chain amino acid transport system permease protein LivH,,1,
Nucleoid occlusion protein,,2,
D-3-phosphoglycerate dehydrogenase,,1,
Histidinol-phosphate aminotransferase,,1,
L-threonine ammonia-lyase,,1,
DNA primase TraC,,1,
Type IV secretion system protein virB4,,2,
"1,2-phenylacetyl-CoA epoxidase, subunit E",,1,
Acyl-coenzyme A thioesterase PaaI,,1,
High-affinity branched-chain amino acid transport ATP-binding protein LivF,,1,
Lipopolysaccharide export system ATP-binding protein LptB,,1,
"N-alpha-acetyl-L-2,4-diaminobutyric acid deacetylase",,1,
Bifunctional protein PaaZ,,1,
"1,2-epoxyphenylacetyl-CoA isomerase",,1,
Phenylacetate-coenzyme A ligase,,1,
Phenylserine dehydratase,,1,
Voltage-gated ClC-type chloride channel ClcB,,1,
NAD/NADP-dependent betaine aldehyde dehydrogenase,,1,
2-aminoadipate transaminase,,1,
Divalent metal cation transporter MntH,,1,
Cadmium-transporting ATPase,,1,
Transcriptional activator protein TraR,,1,
Zinc/cadmium/lead-transporting P-type ATPase,,1,
Foldase protein PrsA,,1,
putative phosphatidylethanolamine transferase Mcr-1,,1,
ATP-dependent RecD-like DNA helicase,,1,
"Cadmium, cobalt and zinc/H(+)-K(+) antiporter",,1,
Acyl-homoserine-lactone synthase,,1,
Transcriptional repressor TraM,,1,
N-ethylmaleimide reductase,,1,
Phosphoethanolamine transferase EptA,,1,
Tyrosine recombinase XerC,,1,
"putative L,D-transpeptidase YbiS",,1,
Multidrug resistance ABC transporter ATP-binding/permease protein BmrA,,1,
Glutarate-semialdehyde dehydrogenase,,1,
HTH-type transcriptional regulator NorG,,,1
Adhesin BmaC autotransporter,,,1
disulfide formation protein,,,1
Lipoprotein signal peptidase,,,1
HTH-type transcriptional regulator HmrR,,,1
Urocanate hydratase,,,1
DNA-invertase hin,,,1
L-alanine/L-glutamate racemase,,,1
putative multidrug resistance ABC transporter ATP-binding/permease protein YheH,,,1
