strain,treatment,cosm,assembly_length,contigs
At,1,1,5393706,6
At,1,1,5418999,4
At,1,2,5513889,7
At,3,1,5211174,3
At,3,2,5418116,6
At,3,3,5366807,8
At,3,4,5435003,5
At,3,5,5357421,6
At,4,1,5414412,4
At,4,2,5382014,5
At,4,3,5378575,4
At,4,4,5330004,3
At,4,5,5367548,6
Ct,2,1,6180695,6
Ct,2,2,6138938,5
Ct,2,3,6124233,5
Ct,2,4,6131153,3
Ct,2,5,6160027,5
Ct,3,1,6141131,4
Ct,3,2,6095765,2
Ct,3,3,6156410,4
Ct,3,4,6133736,5
Ct,3,5,6142511,4
Ct,4,1,6110565,3
Ct,4,2,6162856,6
Ct,4,2,6013062,5
Ct,4,3,6100469,2
Ct,4,4,6142110,4
Ct,4,5,5988524,3
Oa,4,1,5164336,2
Oa,4,1,5201772,4
Oa,4,2,5221300,4
Oa,4,3,5187263,3
Oa,4,4,5206761,4
Oa,4,4,5204686,5
Oa,4,5,5227209,6
Oa,4,5,5176641,4
Ml,3,1,3791457,2
Ml,3,2,3784437,2
Ml,3,3,3781340,2
Ml,3,4,3752412,1
Ml,3,5,3756542,1
Ml,4,2,3757834,1
Ml,4,3,3754292,1
Ml,4,5,3753451,1
