strain,treatment,cosm,deletions
At,1,1,37653
At,1,1,56019
At,1,2,10380
At,3,1,515702
At,3,2,41589
At,3,3,41397
At,3,4,13720
At,3,5,22454
At,4,1,17146
At,4,2,56951
At,4,3,82573
At,4,4,159330
At,4,5,18334
Ct,2,1,10283
Ct,2,2,13144
Ct,2,3,67886
Ct,2,4,26837
Ct,2,5,8256
Ct,3,1,8705
Ct,3,2,37633
Ct,3,3,7222
Ct,3,4,6069
Ct,3,5,10629
Ct,4,1,9902
Ct,4,2,7030
Ct,4,2,329328
Ct,4,3,14404
Ct,4,4,12022
Ct,4,5,327380
Ms,4,1,29693
Ms,4,1,34290
Ms,4,2,29764
Ms,4,3,28730
Ms,4,4,33536
Ms,4,4,34826
Ms,4,5,32363
Ms,4,5,31978
Oa,3,1,1611
Oa,3,2,1739
Oa,3,3,1792
Oa,3,4,2487
Oa,3,5,3518
Oa,4,2,1324
Oa,4,3,2191
Oa,4,5,2215
