,strain,treatment,timepoint,cosm,deletions
0,At,1,T11,1,72268
1,At,1,T11,2,74951
2,At,3,T11,1,59736
3,At,3,T11,2,61558
4,At,3,T11,3,62348
5,At,3,T11,4,61087
6,At,3,T11,5,57618
7,At,4,T11,1,64248
8,At,4,T11,2,64609
9,At,4,T11,3,64198
10,At,4,T11,4,61960
11,At,4,T11,5,63767
12,At,1,T22,1,79555
13,At,1,T22,2,82941
14,At,3,T22,1,70543
15,At,3,T22,2,70138
16,At,3,T22,3,62382
17,At,3,T22,4,67725
18,At,3,T22,5,66614
19,At,4,T22,1,65525
20,At,4,T22,2,69320
21,At,4,T22,3,69262
22,At,4,T22,4,66398
23,At,4,T22,5,67230
24,At,1,T33,1,76019
25,At,1,T33,2,76314
26,At,3,T33,1,65044
27,At,3,T33,2,69664
28,At,3,T33,3,64251
29,At,3,T33,4,63166
30,At,3,T33,5,65847
31,At,4,T33,1,63370
32,At,4,T33,2,64539
33,At,4,T33,3,65028
34,At,4,T33,4,62915
35,At,4,T33,5,66225
36,At,1,T44,1,78151
37,At,1,T44,2,76311
38,At,3,T44,1,76352
39,At,3,T44,2,63111
40,At,3,T44,3,63185
41,At,3,T44,4,62223
42,At,3,T44,5,62331
43,At,4,T44,1,49837
44,At,4,T44,2,62297
45,At,4,T44,3,59632
46,At,4,T44,4,60801
47,At,4,T44,5,63768
48,Ct,2,T11,1,87233
49,Ct,2,T11,2,68121
50,Ct,2,T11,3,84456
51,Ct,2,T11,4,75259
52,Ct,2,T11,5,67304
53,Ct,3,T11,1,80873
54,Ct,3,T11,2,73362
55,Ct,3,T11,3,76233
56,Ct,3,T11,4,73665
57,Ct,3,T11,5,84017
58,Ct,4,T11,1,71197
59,Ct,4,T11,2,72910
60,Ct,4,T11,3,76370
61,Ct,4,T11,4,72173
62,Ct,4,T11,5,82051
63,Ct,2,T22,1,78910
64,Ct,2,T22,2,78558
65,Ct,2,T22,3,80249
66,Ct,2,T22,4,76574
67,Ct,2,T22,5,77443
68,Ct,3,T22,1,75563
69,Ct,3,T22,2,77635
70,Ct,3,T22,3,74253
71,Ct,3,T22,4,76524
72,Ct,3,T22,5,81703
73,Ct,4,T22,1,79225
74,Ct,4,T22,2,79686
75,Ct,4,T22,3,75308
76,Ct,4,T22,4,73812
77,Ct,4,T22,5,82350
78,Ct,2,T33,1,73626
79,Ct,2,T33,2,68601
80,Ct,2,T33,3,68067
81,Ct,2,T33,4,70493
82,Ct,2,T33,5,76446
83,Ct,3,T33,1,74772
84,Ct,3,T33,2,82250
85,Ct,3,T33,3,72371
86,Ct,3,T33,4,74513
87,Ct,3,T33,5,77291
88,Ct,4,T33,1,73362
89,Ct,4,T33,2,73535
90,Ct,4,T33,3,75929
91,Ct,4,T33,4,74273
92,Ct,4,T33,5,75938
93,Ct,2,T44,1,69071
94,Ct,2,T44,2,73692
95,Ct,2,T44,3,70284
96,Ct,2,T44,4,68282
97,Ct,2,T44,5,70610
98,Ct,3,T44,1,73000
99,Ct,3,T44,2,85335
100,Ct,3,T44,3,74553
101,Ct,3,T44,4,75870
102,Ct,3,T44,5,74066
103,Ct,4,T44,1,77189
104,Ct,4,T44,2,77460
105,Ct,4,T44,3,77266
106,Ct,4,T44,4,79309
107,Ct,4,T44,5,72978
