strain,treatment,cosm,deletions
Agrobacterium tumefaciens,1,1,52063
Agrobacterium tumefaciens,1,1,28624
Agrobacterium tumefaciens,1,2,13554
Agrobacterium tumefaciens,3,1,252093
Agrobacterium tumefaciens,3,2,44884
Agrobacterium tumefaciens,3,3,52363
Agrobacterium tumefaciens,3,4,26341
Agrobacterium tumefaciens,3,5,27903
Agrobacterium tumefaciens,4,1,63862
Agrobacterium tumefaciens,4,2,57886
Agrobacterium tumefaciens,4,3,88662
Agrobacterium tumefaciens,4,4,75060
Agrobacterium tumefaciens,4,5,34554
Comamonas testosteroni,2,1,12636
Comamonas testosteroni,2,2,14139
Comamonas testosteroni,2,3,38032
Comamonas testosteroni,2,4,8147
Comamonas testosteroni,2,5,15964
Comamonas testosteroni,3,1,8561
Comamonas testosteroni,3,2,7729
Comamonas testosteroni,3,3,9196
Comamonas testosteroni,3,4,10712
Comamonas testosteroni,3,5,9671
Comamonas testosteroni,4,1,10991
Comamonas testosteroni,4,2,5716
Comamonas testosteroni,4,2,155765
Comamonas testosteroni,4,3,14176
Comamonas testosteroni,4,4,13235
Comamonas testosteroni,4,5,158614
Ochrobactrum anthropi,4,1,5514
Ochrobactrum anthropi,4,1,10427
Ochrobactrum anthropi,4,2,13788
Ochrobactrum anthropi,4,3,10566
Ochrobactrum anthropi,4,4,9311
Ochrobactrum anthropi,4,4,10695
Ochrobactrum anthropi,4,5,2039
Ochrobactrum anthropi,4,5,9857
Microbacterium saperdae,3,1,4100
Microbacterium saperdae,3,2,1890
Microbacterium saperdae,3,3,1947
Microbacterium saperdae,3,4,5431
Microbacterium saperdae,3,5,596
Microbacterium saperdae,4,2,1164
Microbacterium saperdae,4,3,3524
Microbacterium saperdae,4,5,2884
