strain,name,cosm,treatment,timepoint,mutations,fixed,linegroup,number_of_variants,fixed_total_ratio,fixed_total_ratio_number,fixation_rate,acc_rate,hill
At,T11.1.1,1,1,T11,3.7116392447633064,2,at_1_1,7,0.5388454718011102,0.2857142857142857,2.0,3.7116392447633064,3.7116392447633064
At,T33.1.1,1,1,T33,6.250001124060383,2,at_1_1,14,0.31999994244811875,0.14285714285714285,0.6666666666666666,2.083333708020128,6.250001124060383
At,T44.1.1,1,1,T44,6.916287456256194,2,at_1_1,17,0.2891724805612122,0.11764705882352941,0.5,1.7290718640640486,6.916287456256194
At,T44.1.2,2,1,T44,6.803992564417004,4,at_2_1,11,0.5878901192395318,0.36363636363636365,1.0,1.700998141104251,6.803992564417004
At,T33.1.2,2,1,T33,5.583251340033253,3,at_2_1,10,0.5373213235967508,0.3,1.0,1.8610837800110842,5.583251340033253
At,T22.1.1,1,1,T22,4.462235424403404,2,at_1_1,6,0.4482058452277645,0.3333333333333333,1.0,2.231117712201702,4.462235424403404
At,T22.1.2,2,1,T22,4.825939978594846,3,at_2_1,6,0.6216405536136611,0.5,1.5,2.412969989297423,4.825939978594846
At,T11.1.2,2,1,T11,3.3175796294502686,0,at_2_1,10,0.0,0.0,0.0,3.3175796294502686,3.3175796294502686
Ct,T11.2.3,3,2,T11,8.531834498670548,3,ct_3_2,18,0.3516242609332691,0.16666666666666666,3.0,8.531834498670548,8.531834498670548
Ct,T44.2.5.rep,5,2,T44,9.114503832013101,7,ct_5_2,11,0.7680066988851026,0.6363636363636364,1.75,2.2786259580032753,9.114503832013101
Ct,T44.2.4.rep,4,2,T44,9.623034051422877,7,ct_4_2,14,0.7274213062734584,0.5,1.75,2.4057585128557193,9.623034051422877
Ct,T44.2.3.rep,3,2,T44,7.585000664542582,7,ct_3_2,9,0.9228740127502862,0.7777777777777778,1.75,1.8962501661356455,7.585000664542582
Ct,T44.2.2.rep,2,2,T44,8.491107373046153,7,ct_2_2,12,0.824391883468643,0.5833333333333334,1.75,2.1227768432615384,8.491107373046153
Ct,T44.2.1,1,2,T44,8.947835701054265,4,ct_1_2,20,0.4470354769174747,0.2,1.0,2.236958925263566,8.947835701054265
Ct,T22.2.3,3,2,T22,6.437886434916862,4,ct_3_2,8,0.6213219261379617,0.5,2.0,3.218943217458431,6.437886434916862
Ct,T22.2.4,4,2,T22,7.026240166966346,4,ct_4_2,9,0.5692945166898619,0.4444444444444444,2.0,3.513120083483173,7.026240166966346
Ct,T33.2.5.rep,5,2,T33,8.576588292957398,7,ct_5_2,13,0.8161753556187369,0.5384615384615384,2.3333333333333335,2.8588627643191327,8.576588292957398
Ct,T33.2.4.rep,4,2,T33,8.31838634309872,6,ct_4_2,9,0.7212937404593922,0.6666666666666666,2.0,2.7727954476995733,8.31838634309872
Ct,T33.2.3.rep,3,2,T33,7.066409980014571,7,ct_3_2,8,0.9906020199503859,0.875,2.3333333333333335,2.35546999333819,7.066409980014571
Ct,T22.2.5,5,2,T22,6.929758705758489,5,ct_5_2,8,0.7215258441603604,0.625,2.5,3.4648793528792443,6.929758705758489
Ct,T11.2.5.rep,5,2,T11,5.900078538383031,5,ct_5_2,8,0.8474463462600439,0.625,5.0,5.900078538383031,5.900078538383031
