# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_missense_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
NHFMJM_00280	NHFMJM_00280	NHFMJM_00280	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_00295	NHFMJM_00295	NHFMJM_00295	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_00300	NHFMJM_00300	NHFMJM_00300	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_00305	NHFMJM_00305	NHFMJM_00305	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_00315	NHFMJM_00315	NHFMJM_00315	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_00775	NHFMJM_00775	NHFMJM_00775	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0
NHFMJM_00785	NHFMJM_00785	NHFMJM_00785	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_00790	NHFMJM_00790	NHFMJM_00790	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_00850	NHFMJM_00850	NHFMJM_00850	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_00855	NHFMJM_00855	NHFMJM_00855	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_00860	NHFMJM_00860	NHFMJM_00860	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_00875	NHFMJM_00875	NHFMJM_00875	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01010	NHFMJM_01010	NHFMJM_01010	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01015	NHFMJM_01015	NHFMJM_01015	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01020	NHFMJM_01020	NHFMJM_01020	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01025	NHFMJM_01025	NHFMJM_01025	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01030	NHFMJM_01030	NHFMJM_01030	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01035	NHFMJM_01035	NHFMJM_01035	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01040	NHFMJM_01040	NHFMJM_01040	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_01045	NHFMJM_01045	NHFMJM_01045	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01050	NHFMJM_01050	NHFMJM_01050	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0
NHFMJM_01055	NHFMJM_01055	NHFMJM_01055	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01150	NHFMJM_01150	NHFMJM_01150	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
NHFMJM_01155	NHFMJM_01155	NHFMJM_01155	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1
