Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
at_0	cds	177	677	+	BIPKFD_00005		hypothetical protein	
at_0	cds	1040	1375	-	BIPKFD_00010	mnhC	Na(+)/H(+) antiporter subunit C1	COG:COG1006, COG:P, RefSeq:WP_003493763.1, SO:0001217, UniParc:UPI00000D1832, UniRef:UniRef100_A0A024J2X0, UniRef:UniRef50_Q52980, UniRef:UniRef90_A0A024J2X0
at_0	cds	1375	4293	-	BIPKFD_00015		Monovalent cation/H+ antiporter subunit A	RefSeq:WP_003493765.1, SO:0001217, UniParc:UPI0002170BE9, UniRef:UniRef100_A0A7L5BGK9, UniRef:UniRef90_F0L5Z2
at_0	cds	4400	4786	-	BIPKFD_00020		hypothetical protein	SO:0001217, UniParc:UPI0009C72CA7, UniRef:UniRef100_F7U4R4, UniRef:UniRef50_F0L5Z3, UniRef:UniRef90_F7U4R4
at_0	cds	5346	6890	+	BIPKFD_00025		Putative chemoreceptor McpE	SO:0001217, UniRef:UniRef50_A0A1S7NRL3
at_0	cds	6890	7189	+	BIPKFD_00030	spoIIAA	Chemotaxis protein CheX	COG:COG1366, COG:T, RefSeq:WP_003493771.1, SO:0001217, UniParc:UPI0002170BEC, UniRef:UniRef100_A0A024J3X5, UniRef:UniRef50_C3MFZ9, UniRef:UniRef90_A0A1B9U7N4
at_0	cds	7186	7551	+	BIPKFD_00035	cheY1	chemotaxis response regulator CheY1	COG:COG0784, COG:T, RefSeq:WP_003493773.1, SO:0001217, UniParc:UPI00000D1444, UniRef:UniRef100_A0A178H8E1, UniRef:UniRef50_A0A1H8CXA6, UniRef:UniRef90_A0A1H8CXA6
at_0	cds	7568	9835	+	BIPKFD_00040	cheA	Histidine kinase	COG:COG0643, COG:T, SO:0001217, UniRef:UniRef50_C3MG01, UniRef:UniRef90_A9CK76
at_0	cds	9849	10757	+	BIPKFD_00045	cheR	protein-glutamate O-methylesterase CheR	SO:0001217, UniRef:UniRef50_Q2KCH9, UniRef:UniRef90_A0A081CUA7
at_0	cds	10754	11809	+	BIPKFD_00050	cheB	protein-glutamate O-methylesterase CheB	COG:COG2201, COG:T, EC:3.1.1.61, EC:3.5.1.44, GO:0000156, GO:0005737, GO:0006482, GO:0006935, GO:0008984, GO:0018277, GO:0050568, RefSeq:WP_003493779.1, SO:0001217, UniParc:UPI0002170BEF, UniRef:UniRef100_A0A024J4B7, UniRef:UniRef50_Q2KCH8, UniRef:UniRef90_O85128
at_0	cds	11809	12198	+	BIPKFD_00055	cheY2	chemotaxis response regulator CheY2	COG:COG4753, COG:TK, RefSeq:WP_003493781.1, SO:0001217, UniParc:UPI0002170BF0, UniRef:UniRef100_A0A024J3X1, UniRef:UniRef50_Q2KCH7, UniRef:UniRef90_Q52884
at_0	cds	12195	12740	+	BIPKFD_00060		putative chemoreceptor glutamine deamidase CheD	RefSeq:WP_142172902.1, SO:0001217, UniParc:UPI00114F35FB, UniRef:UniRef100_A0A543QVA3, UniRef:UniRef90_Q7D1A4
at_0	cds	12755	13138	+	BIPKFD_00065		hypothetical protein	RefSeq:WP_003493786.1, SO:0001217, UniParc:UPI0002170BF2, UniRef:UniRef100_A0A024J2N5, UniRef:UniRef50_A0A0Q6SPV0, UniRef:UniRef90_O85131
at_0	cds	13267	14949	+	BIPKFD_00070	fliF	Flagellar M-ring protein	COG:COG1766, COG:NU, SO:0001217, UniRef:UniRef50_O54239, UniRef:UniRef90_Q7D1A2
at_0	cds	15320	16051	+	BIPKFD_00075		LuxR family transcriptional regulator	RefSeq:WP_035241582.1, SO:0001217, UniParc:UPI000314DF86, UniRef:UniRef100_F7U4S5, UniRef:UniRef90_F0L604
at_0	cds	16062	16805	+	BIPKFD_00080	citB	Transcriptional regulator, LuxR family	COG:COG2197, COG:TK, SO:0001217, UniParc:UPI000311F9DF, UniRef:UniRef100_F7U4S6, UniRef:UniRef50_A0A2T5BFB5, UniRef:UniRef90_Q7D1A0
at_0	cds	16963	18810	+	BIPKFD_00085		Methyl-accepting chemotaxis protein	SO:0001217, UniRef:UniRef50_A0A386DU25
at_0	cds	19024	22533	-	BIPKFD_00090	pAS	Histidine kinase	COG:COG2202, COG:T, SO:0001217, UniRef:UniRef50_A0A021XD79, UniRef:UniRef90_M8AFG3
at_0	cds	22817	23245	+	BIPKFD_00095	mscL	Large-conductance mechanosensitive channel	COG:COG1970, COG:M, GO:0005887, GO:0008381, RefSeq:WP_082183707.1, SO:0001217, UniParc:UPI0009D177B4, UniRef:UniRef100_A0A1S7QU79, UniRef:UniRef50_Q89K46, UniRef:UniRef90_Q8UHY0
at_0	cds	23399	24565	+	BIPKFD_00100		Aminotransferase	SO:0001217, UniRef:UniRef50_A0A143ZEQ1
at_0	cds	24881	25912	+	BIPKFD_00105	galE	UDP-glucose 4-epimerase	COG:COG1087, COG:M, RefSeq:WP_035241584.1, SO:0001217, UniParc:UPI00054D07DA, UniRef:UniRef100_A0A357X8M1, UniRef:UniRef50_A0A192T754, UniRef:UniRef90_A0A1B9V522
at_0	cds	25942	26757	-	BIPKFD_00110		DUF6030 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1S9E5F8, UniRef:UniRef90_F7U4T3
at_0	cds	26906	27133	-	BIPKFD_00115		DNA gyrase inhibitor YacG	RefSeq:WP_003493810.1, SO:0001217, UniParc:UPI0002170D13, UniRef:UniRef100_F7U4T4, UniRef:UniRef50_P67479, UniRef:UniRef90_A0A0L6KBJ2
at_0	cds	27137	27760	-	BIPKFD_00120	maf1	dTTP/UTP pyrophosphatase	COG:COG0424, COG:Q, EC:3.6.1.9, GO:0005737, GO:0009117, GO:0035529, GO:0036218, GO:0036221, SO:0001217, UniRef:UniRef50_Q8UHX5, UniRef:UniRef90_Q8UHX5
at_0	cds	27793	28092	-	BIPKFD_00125	infA	Translation initiation factor IF-1	COG:COG0361, COG:J, GO:0003743, GO:0005737, GO:0019843, GO:0043022, SO:0001217, UniParc:UPI0009D3024B, UniRef:UniRef100_A0A1S7QU58, UniRef:UniRef50_Q8UHX4, UniRef:UniRef90_Q8UHX4
at_0	cds	28155	28643	-	BIPKFD_00130	wzb	Protein-tyrosine-phosphatase	COG:COG0394, COG:T, RefSeq:WP_003493816.1, SO:0001217, UniParc:UPI0002170D16, UniRef:UniRef100_A0A024J3V5, UniRef:UniRef50_A0A120CTT1, UniRef:UniRef90_A0A083ZPG6
at_0	cds	28646	29119	-	BIPKFD_00135		UPF0262 protein Atu0536	COG:COG5328, COG:S, RefSeq:WP_003493818.1, SO:0001217, UniParc:UPI0002170D17, UniRef:UniRef100_F7U4T8, UniRef:UniRef50_Q89V02, UniRef:UniRef90_Q8UHX2
at_0	cds	29123	30421	-	BIPKFD_00140	hisD	Histidinol dehydrogenase	COG:COG0141, COG:E, EC:1.1.1.23, GO:0000105, GO:0004399, GO:0008270, GO:0051287, SO:0001217, UniRef:UniRef50_P59397, UniRef:UniRef90_Q8UHX1
at_0	cds	30556	30996	-	BIPKFD_00145		DUF2948 domain-containing protein	RefSeq:WP_003493822.1, SO:0001217, UniParc:UPI0002170D19, UniRef:UniRef100_F7U4U0, UniRef:UniRef50_A6U5Y6, UniRef:UniRef90_A0A024J3G4
at_0	cds	31111	32403	-	BIPKFD_00150	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	COG:COG0766, COG:M, EC:2.5.1.7, GO:0005737, GO:0007049, GO:0008360, GO:0008760, GO:0009252, GO:0019277, GO:0051301, GO:0071555, RefSeq:WP_003493824.1, SO:0001217, UniParc:UPI0002170D1A, UniRef:UniRef100_F7U4U1, UniRef:UniRef50_Q986Q6, UniRef:UniRef90_Q8UHW9
at_0	cds	32506	32772	-	BIPKFD_00155		hypothetical protein	RefSeq:WP_003493825.1, SO:0001217, UniParc:UPI0002170D1B, UniRef:UniRef100_F7U4U2, UniRef:UniRef50_A0A083ZPH1, UniRef:UniRef90_A0A3G2DFK8
at_0	tRNA	32928	33002	+	BIPKFD_00160	Thr_trna	tRNA-Thr	SO:0000270
at_0	cds	33208	34539	-	BIPKFD_00165		Flagellin	RefSeq:WP_003493827.1, SO:0001217, UniParc:UPI0002170D1C, UniRef:UniRef100_F7U4U3, UniRef:UniRef50_Q03841, UniRef:UniRef90_A0A1S7Q7A4
at_0	cds	34799	35986	-	BIPKFD_00170		Flagellin	RefSeq:WP_035241591.1, SO:0001217, UniParc:UPI00031B621B, UniRef:UniRef100_F7U4U4, UniRef:UniRef50_Q03841, UniRef:UniRef90_A0A1S7Q850
at_0	cds	36388	37575	-	BIPKFD_00175		Flagellin	RefSeq:WP_003493831.1, SO:0001217, UniParc:UPI0002170D1E, UniRef:UniRef100_F7U4U5, UniRef:UniRef50_Q03841, UniRef:UniRef90_F7U4U5
at_0	cds	37948	38685	-	BIPKFD_00180	fliP	Flagellar biosynthetic protein FliP	COG:COG1338, COG:N, GO:0005886, GO:0009306, GO:0009425, GO:0016021, GO:0044781, RefSeq:WP_003493833.1, SO:0001217, UniParc:UPI0002170D1F, UniRef:UniRef100_A0A1B9T385, UniRef:UniRef50_P37827, UniRef:UniRef90_Q44344
at_0	cds	38682	39188	-	BIPKFD_00185		Flagellar protein FliL	RefSeq:WP_003493835.1, SO:0001217, UniParc:UPI0002170D20, UniRef:UniRef100_F7U4U7, UniRef:UniRef50_A0A202F8C5, UniRef:UniRef90_A0A1B9V4U4
at_0	cds	39217	39933	-	BIPKFD_00190	flgH	Flagellar L-ring protein	COG:COG2063, COG:N, GO:0003774, GO:0009279, GO:0009425, GO:0009427, GO:0071973, RefSeq:WP_003493837.1, SO:0001217, UniParc:UPI0002170D21, UniRef:UniRef100_F7U4U8, UniRef:UniRef50_Q44342, UniRef:UniRef90_Q44342
at_0	cds	39930	40466	-	BIPKFD_00195	motE	OrfB; Method: conceptual translation supplied by author	COG:COG3334, COG:N, SO:0001217, UniRef:UniRef50_A0A095UBX6, UniRef:UniRef90_Q44341
at_0	cds	40463	41584	-	BIPKFD_00200	flgI	Flagellar P-ring protein	COG:COG1706, COG:N, GO:0005198, GO:0009425, GO:0009428, GO:0030288, GO:0071973, RefSeq:WP_035241594.1, SO:0001217, UniParc:UPI0005519509, UniRef:UniRef100_F7U4V0, UniRef:UniRef50_Q44340, UniRef:UniRef90_Q44340
at_0	cds	41581	42069	-	BIPKFD_00205	flgA	Flagellar protein FlgA	COG:COG1261, COG:N, GO:0042597, GO:0044780, SO:0001217, UniRef:UniRef50_Q44339, UniRef:UniRef90_Q44339
at_0	cds	42090	42878	-	BIPKFD_00210	flgG	Flagellar basal-body rod protein FlgG	COG:COG4786, COG:N, GO:0009425, GO:0009426, GO:0071973, RefSeq:WP_003515079.1, SO:0001217, UniParc:UPI0001FC5B39, UniRef:UniRef100_A0A1B9V503, UniRef:UniRef50_Q44338, UniRef:UniRef90_Q44338
at_0	cds	42897	43235	-	BIPKFD_00215	fliE	Flagellar hook-basal body complex protein FliE	COG:COG1677, COG:N, GO:0003774, GO:0005198, GO:0009425, GO:0071973, RefSeq:WP_003493846.1, SO:0001217, UniParc:UPI0002170D26, UniRef:UniRef100_F7U4V3, UniRef:UniRef50_Q44337, UniRef:UniRef90_Q44337
at_0	cds	43232	43651	-	BIPKFD_00220	flgC	Flagellar basal-body rod protein FlgC	COG:COG1558, COG:N, GO:0009425, GO:0030694, GO:0071973, RefSeq:WP_003493849.1, SO:0001217, UniParc:UPI0002170D27, UniRef:UniRef100_F7U4V4, UniRef:UniRef50_Q44336, UniRef:UniRef90_Q44336
at_0	cds	43655	44047	-	BIPKFD_00225	flgB	Flagellar basal body rod protein FlgB	COG:COG1815, COG:N, GO:0009425, GO:0030694, GO:0071973, RefSeq:WP_003493850.1, SO:0001217, UniParc:UPI0002170D28, UniRef:UniRef100_F7U4V5, UniRef:UniRef50_Q44335, UniRef:UniRef90_Q44335
at_0	cds	44384	44947	-	BIPKFD_00230		Ssac1_Z	SO:0001217, UniParc:UPI0002170D29, UniRef:UniRef100_F7U4V6, UniRef:UniRef50_A0A068T2G6, UniRef:UniRef90_F7U4V6
at_0	cds	44951	46357	-	BIPKFD_00235	fliI	Flagellum-specific ATP synthase	COG:COG1157, COG:NU, EC:7.1.2.2, GO:0005524, GO:0005737, GO:0009288, GO:0016887, GO:0030254, GO:0030257, GO:0044781, GO:0046933, GO:0046961, RefSeq:WP_003493855.1, SO:0001217, UniParc:UPI0002170D2A, UniRef:UniRef100_F7U4V7, UniRef:UniRef50_O34171, UniRef:UniRef90_O34171
at_0	cds	46369	47103	-	BIPKFD_00240	flgF	Flagellar basal-body rod protein FlgF	COG:COG4786, COG:N, RefSeq:WP_003493857.1, SO:0001217, UniParc:UPI0002170D2B, UniRef:UniRef100_F7U4V8, UniRef:UniRef50_O54248, UniRef:UniRef90_O34170
at_0	cds	47105	47917	-	BIPKFD_00245		DUF1217 domain-containing protein	SO:0001217, UniRef:UniRef50_C3MG17, UniRef:UniRef90_U4Q4K5
at_0	cds	48070	48942	+	BIPKFD_00250	motA	Motility protein A	COG:COG1291, COG:N, GO:0005886, GO:0006811, GO:0006935, GO:0016021, GO:0097588, RefSeq:WP_003493861.1, SO:0001217, UniParc:UPI0002170D2D, UniRef:UniRef100_F7U4W0, UniRef:UniRef50_Q44456, UniRef:UniRef90_Q44456
at_0	cds	48945	49898	+	BIPKFD_00255	fliM	Flagellar motor switch protein FliM	COG:COG1868, COG:N, GO:0005886, GO:0006935, GO:0009425, GO:0097588, SO:0001217, UniParc:UPI0009E3D419, UniRef:UniRef100_A0A1S7QUS5, UniRef:UniRef50_Q44457, UniRef:UniRef90_Q44457
at_0	cds	49963	50502	+	BIPKFD_00260	fliN	Flagellar motor switch protein FliN	COG:COG1886, COG:NU, GO:0003774, GO:0005886, GO:0006935, GO:0009425, GO:0071973, RefSeq:WP_035241597.1, SO:0001217, UniParc:UPI0002DB0161, UniRef:UniRef100_A0A357X9H9, UniRef:UniRef50_Q57259, UniRef:UniRef90_Q57259
at_0	cds	50530	51573	+	BIPKFD_00265	fliG	Flagellar motor switch protein FliG	COG:COG1536, COG:N, GO:0003774, GO:0005886, GO:0006935, GO:0009425, GO:0071973, RefSeq:WP_082183721.1, SO:0001217, UniParc:UPI0009CC1CD5, UniRef:UniRef100_A0A1S7QVF8, UniRef:UniRef50_Q44458, UniRef:UniRef90_Q44458
at_0	cds	51699	52781	+	BIPKFD_00270	flhB	Flagellar biosynthetic protein FlhB	COG:COG1377, COG:N, RefSeq:WP_082183722.1, SO:0001217, UniParc:UPI0009D2C48E, UniRef:UniRef100_A0A1S7QUQ8, UniRef:UniRef50_O54243, UniRef:UniRef90_O34168
at_0	cds	52787	53224	+	BIPKFD_00275		Uncharacterized protein Atu0565	RefSeq:WP_003493871.1, SO:0001217, UniParc:UPI0002170D32, UniRef:UniRef100_F7U4W5, UniRef:UniRef50_O34167, UniRef:UniRef90_O34167
at_0	cds	53531	54823	+	BIPKFD_00280		Flagellin	RefSeq:WP_082183724.1, SO:0001217, UniParc:UPI0009C60D03, UniRef:UniRef100_A0A1S7QUN3, UniRef:UniRef50_A0A068SL33, UniRef:UniRef90_A0A1B9T3A7
at_0	cds	55132	55782	+	BIPKFD_00285		hypothetical protein	RefSeq:WP_003493878.1, SO:0001217, UniParc:UPI0002170D35, UniRef:UniRef100_F7U4W8, UniRef:UniRef50_A0A0D8KCV3, UniRef:UniRef90_A0A1S7QUP0
at_0	cds	55779	57065	+	BIPKFD_00290		MotB family protein	SO:0001217, UniRef:UniRef50_A0A1A9FXC1, UniRef:UniRef90_A0A357X2M6
at_0	cds	57062	58339	+	BIPKFD_00295		Chemotaxis protein	RefSeq:WP_035241603.1, SO:0001217, UniParc:UPI000550AD90, UniRef:UniRef100_A0A1S7QVY3, UniRef:UniRef50_A0A1B9T329, UniRef:UniRef90_A0A1B9T329
at_0	cds	58336	59691	+	BIPKFD_00300		MotD	SO:0001217, UniRef:UniRef50_Q84G68, UniRef:UniRef90_F7U4X1
at_0	cds	59639	60205	+	BIPKFD_00305		SLT domain-containing protein	RefSeq:WP_035241606.1, SO:0001217, UniParc:UPI0005534D27, UniRef:UniRef100_F7U4X2, UniRef:UniRef50_F0L6C9, UniRef:UniRef90_F0L6C9
at_0	cds	60487	61158	+	BIPKFD_00310	ompR	Flagellar transcriptional regulator FtcR	COG:COG0745, COG:TK, RefSeq:WP_003493888.1, SO:0001217, UniParc:UPI0002170D3A, UniRef:UniRef100_F7U4X3, UniRef:UniRef50_A0A1B3NHX0, UniRef:UniRef90_A0A083ZPK1
at_0	cds	61263	62558	+	BIPKFD_00315		Flagellar hook protein FlgE	RefSeq:WP_035241609.1, SO:0001217, UniParc:UPI0005538812, UniRef:UniRef100_A0A1S7QW16, UniRef:UniRef50_A0A1S2DQU4, UniRef:UniRef90_M8AP97
at_0	cds	62581	64059	+	BIPKFD_00320	flgK	Flagellar hook-associated protein 1	COG:COG1256, COG:N, RefSeq:WP_035241612.1, SO:0001217, UniParc:UPI0002FFC980, UniRef:UniRef100_F7U4X6, UniRef:UniRef50_A0A329YA27, UniRef:UniRef90_A0A1B9U7J9
at_0	cds	64063	65166	+	BIPKFD_00325	flgL	Flagellin	COG:COG1344, COG:N, RefSeq:WP_003493895.1, SO:0001217, UniParc:UPI000216F9DD, UniRef:UniRef100_F7U4X7, UniRef:UniRef50_A0A024J2E3, UniRef:UniRef90_A0A1V2APA7
at_0	cds	65201	65545	+	BIPKFD_00330	flaF	Flagellar biosynthesis regulator FlhF	COG:COG5442, COG:N, RefSeq:WP_003493897.1, SO:0001217, UniParc:UPI000216F9DE, UniRef:UniRef100_F7U4X8, UniRef:UniRef50_A0A4Q2T0Q0, UniRef:UniRef90_A0A1B9UD77
at_0	cds	65542	65991	+	BIPKFD_00335	flbT	putative flagellum biosynthesis repressor protein FlbT	COG:COG5443, COG:N, GO:0006402, GO:0044781, GO:0048027, GO:1902209, RefSeq:WP_003493899.1, SO:0001217, UniParc:UPI000216F9DF, UniRef:UniRef100_A0A024J412, UniRef:UniRef50_Q8UHV1, UniRef:UniRef90_Q8UHV1
at_0	cds	65982	66452	+	BIPKFD_00340		Basal-body rod modification protein FlgD	RefSeq:WP_003493901.1, SO:0001217, UniParc:UPI000216F9E0, UniRef:UniRef100_F7U4Y0, UniRef:UniRef50_A0A1B9V546, UniRef:UniRef90_A0A1B9V546
at_0	cds	66500	66766	+	BIPKFD_00345	fliQ	Flagellar biosynthetic protein FliQ	COG:COG1987, COG:N, RefSeq:WP_003493903.1, SO:0001217, UniParc:UPI000216F9E1, UniRef:UniRef100_F7U4Y1, UniRef:UniRef50_A0A1L3F6S2, UniRef:UniRef90_A0A024J313
at_0	cds	66925	69012	+	BIPKFD_00350	flhA	Flagellar biosynthesis protein FlhA	COG:COG1298, COG:N, SO:0001217, UniRef:UniRef50_Q8YDK9, UniRef:UniRef90_A0A083ZPK9
