,strain,treatment,cosm,name,contig,start,end,length
0,Agrobacterium tumefaciens,1,1,At11.7,tig00000001_polypolish,1,5075,5074
1,Agrobacterium tumefaciens,1,1,At11.7,tig00000001_polypolish,5079,5080,1
2,Agrobacterium tumefaciens,1,1,At11.7,tig00000001_polypolish,5203,5204,1
3,Agrobacterium tumefaciens,1,1,At11.7,tig00000001_polypolish,5303,5304,1
4,Agrobacterium tumefaciens,1,1,At11.7,tig00000001_polypolish,5327,5328,1
5,Agrobacterium tumefaciens,1,1,At11.7,tig00000001_polypolish,5340,5342,2
6,Agrobacterium tumefaciens,1,1,At11.7,tig00000001_polypolish,5784,5785,1
7,Agrobacterium tumefaciens,1,1,At11.7,tig00000001_polypolish,667555,667556,1
8,Agrobacterium tumefaciens,1,1,At11.7,tig00000001_polypolish,910408,910409,1
9,Agrobacterium tumefaciens,1,1,At11.7,tig00000001_polypolish,1065215,1065216,1
10,Agrobacterium tumefaciens,1,1,At11.7,tig00000001_polypolish,1528525,1528526,1
11,Agrobacterium tumefaciens,1,1,At11.7,tig00000001_polypolish,1988294,1988295,1
12,Agrobacterium tumefaciens,1,1,At11.7,tig00000001_polypolish,2997159,2999962,2803
13,Agrobacterium tumefaciens,1,1,At11.7,tig00000002_polypolish,169280,169281,1
14,Agrobacterium tumefaciens,1,1,At11.7,tig00000002_polypolish,780127,780128,1
15,Agrobacterium tumefaciens,1,1,At11.7,tig00000002_polypolish,1201507,1201508,1
16,Agrobacterium tumefaciens,1,1,At11.7,tig00000003_polypolish,0,548,548
17,Agrobacterium tumefaciens,1,1,At11.7,tig00000003_polypolish,5798,5799,1
18,Agrobacterium tumefaciens,1,1,At11.7,tig00000003_polypolish,16329,16330,1
19,Agrobacterium tumefaciens,1,1,At11.7,tig00000003_polypolish,55802,55803,1
20,Agrobacterium tumefaciens,1,1,At11.7,tig00000003_polypolish,74805,74806,1
21,Agrobacterium tumefaciens,1,1,At11.7,tig00000003_polypolish,120464,120465,1
22,Agrobacterium tumefaciens,1,1,At11.7,tig00000003_polypolish,132437,132438,1
23,Agrobacterium tumefaciens,1,1,At11.7,tig00000003_polypolish,205119,205120,1
24,Agrobacterium tumefaciens,1,1,At11.7,tig00000003_polypolish,208819,208820,1
25,Agrobacterium tumefaciens,1,1,At11.7,tig00000003_polypolish,210510,210512,2
26,Agrobacterium tumefaciens,1,1,At11.7,tig00000003_polypolish,211045,211048,3
