Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
tig00000001_polypolish	cds	155	2056	+	NHFMJM_00005		Putative phage-type endonuclease	SO:0001217, UniRef:UniRef50_A0A031I4E5
tig00000001_polypolish	cds	2104	2376	+	NHFMJM_00010		DNA-binding protein HU beta subunit	SO:0001217, UniRef:UniRef50_R4ZYV7
tig00000001_polypolish	cds	2464	2760	+	NHFMJM_00015		KTSC domain-containing protein	SO:0001217, UniRef:UniRef50_A0A147GLE6
tig00000001_polypolish	cds	2823	3506	+	NHFMJM_00020		hypothetical protein	SO:0001217, UniRef:UniRef50_A0A120D929, UniRef:UniRef90_B7X1T6
tig00000001_polypolish	cds	3568	3825	-	NHFMJM_00025		hypothetical protein	
tig00000001_polypolish	cds	3901	5688	+	NHFMJM_00030		DNA (cytosine-5-)-methyltransferase	SO:0001217, UniRef:UniRef50_A0A2I1DPC1
tig00000001_polypolish	cds	5906	6190	+	NHFMJM_00035		ASCH domain-containing protein	SO:0001217, UniRef:UniRef50_H0F9I9, UniRef:UniRef90_UPI0006B8AC0A
tig00000001_polypolish	cds	6290	6574	+	NHFMJM_00040		HTH-17 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A076PQ93
tig00000001_polypolish	cds	6522	7733	-	NHFMJM_00045		Tyr recombinase domain-containing protein	SO:0001217, UniRef:UniRef50_A0A076PT58, UniRef:UniRef90_A0A096F1R6
tig00000001_polypolish	cds	8124	8651	+	NHFMJM_00050		SnoaL-like domain-containing protein	SO:0001217, UniRef:UniRef50_D0IVW3, UniRef:UniRef90_D0IVW3
tig00000001_polypolish	cds	8730	9254	-	NHFMJM_00055	ompA	OmpA-like domain-containing protein	COG:COG2885, COG:M, SO:0001217, UniRef:UniRef50_A0A3D3CY54, UniRef:UniRef90_A0A5A7MEM8
tig00000001_polypolish	cds	9556	10185	+	NHFMJM_00060	chaC2	Gamma-glutamylcyclotransferase	COG:COG3703, COG:P, SO:0001217, UniRef:UniRef50_A0A519GSY1, UniRef:UniRef90_A0A0L7N3I3
tig00000001_polypolish	cds	10288	10899	+	NHFMJM_00065	sodC	Superoxide dismutase [Cu-Zn]	COG:COG2032, COG:P, SO:0001217, UniRef:UniRef50_A0A1F4J1F3, UniRef:UniRef90_A0A5A7MCF7
tig00000001_polypolish	cds	11034	11648	-	NHFMJM_00070		Molybdenum cofactor cytidylyltransferase	SO:0001217, UniRef:UniRef50_D0IVV9, UniRef:UniRef90_A0A7Z0FX29
tig00000001_polypolish	cds	11683	12330	+	NHFMJM_00075	pdxH	Pyridoxine/pyridoxamine 5'-phosphate oxidase	COG:COG0259, COG:H, SO:0001217, UniRef:UniRef50_A2SJZ5, UniRef:UniRef90_D0IVV8
tig00000001_polypolish	cds	12475	13554	+	NHFMJM_00080	xerD	Tyr recombinase domain-containing protein	COG:COG4974, COG:L, SO:0001217, UniRef:UniRef50_A0A5A7MEP2, UniRef:UniRef90_A0A5A7MEP2
tig00000001_polypolish	cds	13619	15754	-	NHFMJM_00085	cirA	TonB-denpendent receptor	COG:COG1629, COG:P, SO:0001217, UniRef:UniRef50_A0A2P1NLM3, UniRef:UniRef90_A0A096GG98
tig00000001_polypolish	cds	15914	16339	-	NHFMJM_00090		hypothetical protein	SO:0001217, UniRef:UniRef50_D0IVV5, UniRef:UniRef90_A0A076PQ86
